Name,Date Published,Description,Rating,Rating Count,Content Rating,Genre(s),Keywords
Harry Potter and the Prisoner of Azkaban,2004-07-29,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",7.9,650880,M/6,"Adventure,Family,Fantasy","werewolf,rat,magic,wizard,school of magic"
La promesse de l&apos;aube,2017-12-20,"From his childhood in Poland to his adolescence in Nice to his years as a student in Paris and his tough training as a pilot during World War II, this tragi-comedy tells the romantic story of Romain Gary, one of the most famous Fr...",7.1,3352,,"Biography,Drama,Romance","mother son relationship,anti semitism,nice france,world war two,vilnius"
Pusher,1996-08-30,A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,7.3,41862,Not Rated,"Crime,Thriller","stripper,bathtub,drug deal,desperation,drugs"
The Rolling Stones Rock and Roll Circus,1997-04-02,The Rolling Stones Rock and Roll Circus was filmed before a live audience at a North London TV studio.,7.6,2151,Not Rated,"Documentary,Music","circus,lip syncing,rock &apos;n&apos; roll,performance,musician"
"Pianese Nunzio, 14 anni a maggio",1996-09-05,,6.3,407,,"Crime,Drama","erection,man wears eyeglasses,breaking the fourth wall,brechtian,baroque"
Schizopolis,1997-04-09,"Fletcher Munson, the lethargic employee of a pseudo-religious self help company, and his doppelganger, the friendly but dull dentist Dr. Jeffrey Korchek.",6.7,5862,Not Rated,"Comedy,Fantasy,Mystery","doppelganger,black comedy,absurdism,satire,experimental film"
Tabutta Rövasata,1996-11-15,,7.7,10465,,Drama,"prison,thief,heroin,istanbul turkey,toilet"
Small Faces,1996-04-05,"Three teenage brothers, gang-member Bobby, troubled mama&apos;s boy Alan and self-assured prankster Lex, reside in a downtrodden section of Glasgow, Scotland, circa 1968. But while Bobby and Alan are beginning to experience the power o...",6.9,1590,R,Drama,"teen movie,gang,brother,violence,teenager"
Khu Kam,2013-04-04,"Starring Nadech Kugimiya as Kobori, a Japanese Military Officer who is in the Japanese troop that invaded Siam, and Oranate D.Caballes as Angsumalin (Hideko), a Siamese girl who has complicated feelings toward Kobori, due to her f...",6.1,168,,Drama,"thailand,world war two,based on novel"
Conte d&apos;été,1997-08-08,"A shy maths graduate takes a holiday in Dinard before starting his first job. He hopes his sort-of girlfriend will join him, but soon strikes up a friendship with another girl working in town. She in turn introduces him to a furth...",7.6,9048,M/12,"Comedy,Drama,Romance","friendship,playing guitar,driving a car,chapter headings,dancing"
Sûpâ no onna,1996-06-15,,7.2,763,,Comedy,"rival,supermarket,food waste,supermarket clerk,sashimi"
Suwarôteiru,1996-09-14,"The struggles of a group of immigrant outcasts living in an alternative-future, xenophobic Japanese metropolis.",7.5,4159,,"Crime,Drama","tattooed woman,butterfly,illegal immigrant,false money,tattoo artist"
Feng yue,1996-05-09,,6.7,1980,R,"Drama,Romance","brother in law sister in law relationship,cousin cousin romance,drug addict,paralysis,younger man older woman relationship"
Taxi Driver,1977-04-15,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",8.2,854866,M/18,"Crime,Drama","taxi driver,loner,child prostitution,street life,neo noir"
Tesis sobre un homicidio,2013-01-17,,6.3,8159,,"Crime,Mystery,Thriller","suspected serial killer,murder investigation,post mortem,scene of the crime,interrogation"
Three Lives and One Dream,,"Three Lives and One Dream is a documentary about Corine Goldenberg, Muriel Pokk and Suely Viola - 3 remarkable women who were abandoned by their husbands when they conceived children with Down syndrome. It&apos;s the journey of strong,...",,,,Documentary,
Tremors II: Aftershocks,,"Earl Bassett, now a washed-up ex-celebrity, is hired by a Mexican oil company to eradicate a Graboid epidemic that&apos;s killing more people each day. However, the humans aren&apos;t the only one with a new battle plan.",5.9,31390,PG-13,"Action,Comedy,Horror","oil refinery,man eaten by monster,man versus monster,second part,creature feature"
La compagna di viaggio,1981-01-03,"An Italian Baron, helped by aspiring actress, organizes a robbery on a train. The shot is successful, but the money will be invested badly and so they will put to work another plan.",4,157,,Comedy,"exploitation film,italian exploitation,sexploitation,sexploitation film,fear of sex"
Dungeons & Dragons: Honor Among Thieves,2023-03-30,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",7.6,33412,M/12,"Action,Adventure,Comedy","based on tabletop role playing game,dungeons and dragons,magic,based on game,dragon"
Too Late,,,6.7,3741,Not Rated,"Drama,Mystery,Thriller","long take,drug distributor,out of sequence story line,missing woman,murder"
True Blue,1996-11-15,The story of the year the Oxford and Cambridge boat race changed from a gentleman&apos;s race to one where winning was everything.,6.2,420,R,"Drama,Sport","two word title,color in title,shower,taking a shower,nudity"
Urban Safari,,The Johnsons&apos; scheme of keeping up appearances to fit in with NYC&apos;s high society hits a snag when they lie about going on an African safari. Various unwanted characters show up to use their &apos;empty&apos; apartment forcing them to hide f...,6.2,66,R,Comedy,"husband wife relationship,dominant wife,career opportunity,keeping up appearances,new york city"
Sik ching nam lui,1996-11-28,,6.7,880,,"Comedy,Drama","hot,sex scene,sexy,hong kong sex comedy,toe sucking"
The Vanishing,1993-07-16,The boyfriend of an abducted woman never gives up the search as the abductor looks on.,6.3,26677,M/12,"Drama,Horror,Mystery","kidnapping,obsession,missing person,buried alive,remake by original director"
The Winner,1997-07-25,"When it is discovered that a man is having luck in the casinos in Las Vegas, people start attempting to take his money.",4.7,863,R,"Comedy,Crime,Thriller","luck,casino,chewing gum,seduction,hot rod magazine"
Pursued,2006-09-20,A fast rising hi tech executive must protect his career and family from the ruthless tactics of a homicidal corporate headhunter.,5.2,1707,R,"Drama,Thriller","poison,false identity,electrocution,blackmail,fall"
The Gauntlet,2016-05-18,"In a sunken castle underneath the earth, five strangers wake. They have no food. No memory. No water. And no way out. They must organize and band together for the sinister adventure that awaits.",5,2876,R,"Action,Adventure,Horror",stranger
Girl in Gold Boots,1968-04-25,"A young woman leaves her job as a waitress and travels to Los Angeles, where she strives to become the top star in the glamorous world of go-go dancing.",2.2,3895,R,"Crime,Drama,Music","bongos,go go dancer,cult film,exploitation film,psychotronic film"
Twins of Evil,1973-05-31,,6.6,5940,M/18,Horror,"female vampire,sister sister relationship,female frontal nudity,castle,identical twins"
The House Across the Lake,1954-06-21,,6,712,Not Rated,"Crime,Drama,Film-Noir","deception,british film noir,cheating wife,wife murders her husband,femme fatale"
Send No Flowers,,,6.2,95,,"Action,Crime,Drama",mafia
L.A. Confidential,1997-11-14,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",8.2,590341,M/12,"Crime,Drama,Mystery","corruption,neo noir,1950s,murder,call girl"
Mirage,1990-12-12,"A smiling, sadistic and seemingly demonic young killer in black, who drives a black pick up truck, is hunting three young couples who came to the desert to drink, party and have sex.",5.1,420,,"Action,Horror,Thriller","couple has sex in the back of a moving truck,stranger,couple,truck,desert"
"Take Her, She&apos;s Mine",1963-11-13,A father&apos;s attempts to protect his college-age daughter from trouble backfire and he finds himself in the middle of scandal after scandal.,6.2,1433,Approved,Comedy,"teenage rebellion,generation gap,based on play,college,contraction in title"
Jet Over the Atlantic,1959-11-04,,5.6,191,Approved,"Crime,Drama,Thriller","airliner,flying over the ocean,passenger,transatlantic flight,frame up"
5 Against the House,1957-08-30,,5.8,1898,Approved,"Crime,Drama,Film-Noir","casino,cabaret singer,g.i. bill,heist goes wrong,ptsd post traumatic stress disorder"
